model,feature,accuracy,precision,recall,f1,training_time,prediction_time,k
KNN,Count,0.9396984924623116,0.8630952380952381,0.9177215189873418,0.8895705521472392,0.0009729000157676,0.0653821000014431,3.0
KNN,TFIDF,0.9296482412060302,0.8536585365853658,0.8860759493670886,0.8695652173913043,0.001760600018315,0.0797977999900467,3.0
NaiveBayes,Count,0.8542713567839196,0.6918918918918919,0.810126582278481,0.7463556851311953,0.0027309000142849,0.0002896999940276,
NaiveBayes,TFIDF,0.8743718592964824,0.816793893129771,0.6772151898734177,0.740484429065744,0.0025613000034354,0.0003455000114627,
