model,feature,accuracy,precision,recall,f1,training_time,prediction_time,k
KNN,Count,0.9396984924623115,0.8630952380952381,0.9177215189873418,0.8895705521472392,0.0009729000157676637,0.06538210000144318,3
KNN,TFIDF,0.9296482412060302,0.8536585365853658,0.8860759493670886,0.8695652173913043,0.0017606000183150172,0.07979779999004677,3
