label,char_count_count,char_count_mean,char_count_std,char_count_min,char_count_25%,char_count_50%,char_count_75%,char_count_max,word_count_count,word_count_mean,word_count_std,word_count_min,word_count_25%,word_count_50%,word_count_75%,word_count_max,split
0,1754.0,246.4418472063854,109.70497845591152,1.0,156.25,243.5,320.0,881.0,1754.0,46.72576966932725,21.86844313219874,1.0,30.0,45.0,60.0,180.0,train
1,640.0,144.9484375,57.694181859204605,26.0,110.75,145.0,176.0,576.0,640.0,24.71875,14.23035257020361,1.0,21.0,28.0,31.0,117.0,train
0,439.0,192.42141230068336,90.0523571543304,19.0,144.0,173.0,240.0,857.0,439.0,36.70387243735763,18.014549131293347,3.0,27.0,32.0,46.0,179.0,test
1,158.0,142.5379746835443,79.52795735442668,47.0,106.0,125.0,143.0,561.0,158.0,27.5,17.708089482522364,2.0,22.0,24.0,29.0,114.0,test
