model,feature,accuracy,precision,recall,f1,training_time,prediction_time
NaiveBayes,Count,0.8542713567839196,0.6918918918918919,0.810126582278481,0.7463556851311953,0.0038967000000411645,0.0005079000002297107
NaiveBayes,TFIDF,0.8743718592964824,0.816793893129771,0.6772151898734177,0.740484429065744,0.0036922999970556702,0.0005164999965927564
